#"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0029091,0,0,0,0.005,0,0.005
4.2993e-06,0,0,0,0,0,0.005
-6.2697e-05,-0.00032363,0.00033412,0,0.005,0.005,0.005
0.0028938,0,0,0,0,0.005,0.005
-0.0093914,0,0,0,0.01,0,0.005
-0.0062001,-0.0020852,0.0014846,0,0.01,0.005,0.005
-0.015686,0,0,0,0.015,0,0.005
-0.011679,-0.0055178,0.0025256,0,0.015,0.005,0.005
-0.019421,0,0,0,0.02,0,0.005
-0.014745,-0.010118,0.0031774,0,0.02,0.005,0.005
-0.019333,0,0,0,0.025,0,0.005
-0.014424,-0.015286,0.0034029,0,0.025,0.005,0.005
-0.015004,0,0,0,0.03,0,0.005
-0.010352,-0.020437,0.0032381,0,0.03,0.005,0.005
-0.0066269,0,0,0,0.035,0,0.005
-0.0026865,-0.025048,0.0027458,0,0.035,0.005,0.005
0.0051786,0,0,0,0.04,0,0.005
0.0080344,-0.028688,0.0019989,0,0.04,0.005,0.005
0.019495,0,0,0,0.045,0,0.005
0.021002,-0.031037,0.0010735,0,0.045,0.005,0.005
0.035198,0,0,0,0.05,0,0.005
0.035215,-0.031886,4.824e-05,0,0.05,0.005,0.005
0.051035,0,0,0,0.055,0,0.005
0.049552,-0.031152,-0.00099356,0,0.055,0.005,0.005
0.065702,0,0,0,0.06,0,0.005
0.062845,-0.028876,-0.0019625,0,0.06,0.005,0.005
0.077945,0,0,0,0.065,0,0.005
0.073973,-0.025241,-0.0027635,0,0.065,0.005,0.005
0.086682,0,0,0,0.07,0,0.005
0.081975,-0.020568,-0.0032995,0,0.07,0.005,0.005
0.091161,0,0,0,0.075,0,0.005
0.086191,-0.015313,-0.0034794,0,0.075,0.005,0.005
0.091148,0,0,0,0.08,0,0.005
0.086423,-0.010045,-0.0032331,0,0.08,0.005,0.005
0.087137,0,0,0,0.085,0,0.005
0.083102,-0.0053921,-0.0025348,0,0.085,0.005,0.005
0.080564,0,0,0,0.09,0,0.005
0.077365,-0.0019742,-0.0014489,0,0.09,0.005,0.005
0.073976,0,0,0,0.095,0,0.005
0.071137,-0.00026785,-0.00028992,0,0.095,0.005,0.005
0.068194,0,0,0,0.1,0.005,0.005
0.071069,0,0,0,0.1,0,0.005
0.0059852,-0.0014824,0.002076,0,0.005,0.01,0.005
0.0095604,0,0,0,0,0.01,0.005
-0.00049366,-0.0054016,0.005306,0,0.01,0.01,0.005
-0.0051891,-0.011999,0.0080716,0,0.015,0.01,0.005
-0.0074573,-0.020343,0.0097836,0,0.02,0.01,0.005
-0.0068902,-0.029472,0.010323,0,0.025,0.01,0.005
-0.0032642,-0.038456,0.0097572,0,0.03,0.01,0.005
0.0032853,-0.046443,0.0082446,0,0.035,0.01,0.005
0.012328,-0.052725,0.005985,0,0.04,0.01,0.005
0.023218,-0.056765,0.003199,0,0.045,0.01,0.005
0.035146,-0.058219,0.00012148,0,0.05,0.01,0.005
0.047194,-0.056948,-0.0029983,0,0.055,0.01,0.005
0.058404,-0.053029,-0.0058955,0,0.06,0.01,0.005
0.067852,-0.046764,-0.0082941,0,0.065,0.01,0.005
0.074745,-0.038688,-0.0099197,0,0.07,0.01,0.005
0.078532,-0.029547,-0.010526,0,0.075,0.01,0.005
0.07903,-0.020257,-0.0099359,0,0.08,0.01,0.005
0.076517,-0.011819,-0.0081053,0,0.085,0.01,0.005
0.071557,-0.0052299,-0.0052199,0,0.09,0.01,0.005
0.064985,-0.0013903,-0.001958,0,0.095,0.01,0.005
0.061429,0,0,0,0.1,0.01,0.005
0.011803,-0.0027151,0.0056325,0,0.005,0.015,0.005
0.01674,0,0,0,0,0.015,0.005
0.0034922,-0.008824,0.012027,0,0.01,0.015,0.005
-0.0017132,-0.018451,0.017189,0,0.015,0.015,0.005
-0.0040197,-0.030167,0.020289,0,0.02,0.015,0.005
-0.0035342,-0.042691,0.021131,0,0.025,0.015,0.005
-0.00020212,-0.054847,0.019837,0,0.03,0.015,0.005
0.0057881,-0.065565,0.016695,0,0.035,0.015,0.005
0.014025,-0.073952,0.012088,0,0.04,0.015,0.005
0.023933,-0.079336,0.0064457,0,0.045,0.015,0.005
0.034802,-0.081282,0.00023229,0,0.05,0.015,0.005
0.045822,-0.079615,-0.0060596,0,0.055,0.015,0.005
0.056133,-0.074428,-0.011909,0,0.06,0.015,0.005
0.06489,-0.066097,-0.016778,0,0.065,0.015,0.005
0.071342,-0.055283,-0.020139,0,0.07,0.015,0.005
0.074924,-0.042922,-0.021521,0,0.075,0.015,0.005
0.075374,-0.030166,-0.020597,0,0.08,0.015,0.005
0.072789,-0.018287,-0.017282,0,0.085,0.015,0.005
0.06724,-0.0086282,-0.011888,0,0.09,0.015,0.005
0.058764,-0.0025982,-0.0054134,0,0.095,0.015,0.005
0.053821,0,0,0,0.1,0.015,0.005
0.01578,-0.0038589,0.010884,0,0.005,0.02,0.005
0.022323,0,0,0,0,0.02,0.005
0.0050733,-0.012084,0.021403,0,0.01,0.02,0.005
-0.0012079,-0.024641,0.029435,0,0.015,0.02,0.005
-0.003918,-0.039548,0.034049,0,0.02,0.02,0.005
-0.0036024,-0.055195,0.035057,0,0.025,0.02,0.005
-0.00036988,-0.070193,0.032681,0,0.03,0.02,0.005
0.005508,-0.083306,0.02739,0,0.035,0.02,0.005
0.013592,-0.09352,0.019786,0,0.04,0.02,0.005
0.023323,-0.10008,0.010548,0,0.045,0.02,0.005
0.034032,-0.10248,0.00040748,0,0.05,0.02,0.005
0.044952,-0.10054,-0.0098607,0,0.055,0.02,0.005
0.055253,-0.094329,-0.019438,0,0.06,0.02,0.005
0.064092,-0.084263,-0.027478,0,0.065,0.02,0.005
0.070679,-0.071071,-0.033148,0,0.07,0.02,0.005
0.074359,-0.055811,-0.035703,0,0.075,0.02,0.005
0.074735,-0.039819,-0.034604,0,0.08,0.02,0.005
0.071722,-0.024619,-0.029667,0,0.085,0.02,0.005
0.064971,-0.011927,-0.021252,0,0.09,0.02,0.005
0.053944,-0.0037354,-0.010561,0,0.095,0.02,0.005
0.047322,0,0,0,0.1,0.02,0.005
0.016653,-0.0049354,0.017731,0,0.005,0.025,0.005
0.024842,0,0,0,0,0.025,0.005
0.0034298,-0.015218,0.033325,0,0.01,0.025,0.005
-0.004062,-0.03064,0.044662,0,0.015,0.025,0.005
-0.0072126,-0.048637,0.050854,0,0.02,0.025,0.005
-0.0069535,-0.067257,0.051828,0,0.025,0.025,0.005
-0.0035455,-0.084905,0.047998,0,0.03,0.025,0.005
0.0026472,-0.10022,0.040063,0,0.035,0.025,0.005
0.011136,-0.1121,0.02889,0,0.04,0.025,0.005
0.021352,-0.11974,0.015431,0,0.045,0.025,0.005
0.032633,-0.12263,0.00070228,0,0.05,0.025,0.005
0.04422,-0.12052,-0.014222,0,0.055,0.025,0.005
0.055269,-0.11349,-0.028208,0,0.06,0.025,0.005
0.064893,-0.10193,-0.040075,0,0.065,0.025,0.005
0.072209,-0.086599,-0.048644,0,0.07,0.025,0.005
0.076421,-0.068621,-0.052833,0,0.075,0.025,0.005
0.076957,-0.049486,-0.05181,0,0.08,0.025,0.005
0.073535,-0.030972,-0.045192,0,0.085,0.025,0.005
0.065424,-0.01521,-0.033273,0,0.09,0.025,0.005
0.051625,-0.0048418,-0.017345,0,0.095,0.025,0.005
0.043216,0,0,0,0.1,0.025,0.005
0.013292,-0.005997,0.026137,0,0.005,0.03,0.005
0.023138,0,0,0,0,0.03,0.005
-0.0024601,-0.018326,0.047761,0,0.01,0.03,0.005
-0.011124,-0.036587,0.062832,0,0.015,0.03,0.005
-0.014575,-0.057609,0.070632,0,0.02,0.03,0.005
-0.014112,-0.079078,0.071338,0,0.025,0.03,0.005
-0.010145,-0.099212,0.065655,0,0.03,0.03,0.005
-0.0031395,-0.11655,0.054593,0,0.035,0.03,0.005
0.0063552,-0.12996,0.039322,0,0.04,0.03,0.005
0.017741,-0.13863,0.021087,0,0.045,0.03,0.005
0.030346,-0.14202,0.0011934,0,0.05,0.03,0.005
0.043394,-0.13989,-0.018993,0,0.055,0.03,0.005
0.056004,-0.13225,-0.038024,0,0.06,0.03,0.005
0.067204,-0.11946,-0.054373,0,0.065,0.03,0.005
0.075978,-0.10222,-0.066475,0,0.07,0.03,0.005
0.081337,-0.081688,-0.072839,0,0.075,0.03,0.005
0.082488,-0.059468,-0.072233,0,0.08,0.03,0.005
0.078912,-0.037588,-0.063934,0,0.085,0.03,0.005
0.069487,-0.018641,-0.048031,0,0.09,0.03,0.005
0.052782,-0.0059941,-0.025795,0,0.095,0.03,0.005
0.042483,0,0,0,0.1,0.03,0.005
0.004591,-0.0070968,0.036113,0,0.005,0.035,0.005
0.01612,0,0,0,0,0.035,0.005
-0.01367,-0.021512,0.064721,0,0.01,0.035,0.005
-0.023341,-0.042616,0.083916,0,0.015,0.035,0.005
-0.026797,-0.066581,0.093295,0,0.02,0.035,0.005
-0.025724,-0.090731,0.09344,0,0.025,0.035,0.005
-0.020699,-0.11312,0.085479,0,0.03,0.035,0.005
-0.012297,-0.13225,0.070819,0,0.035,0.035,0.005
-0.0011404,-0.14699,0.050977,0,0.04,0.035,0.005
0.012141,-0.15658,0.027503,0,0.045,0.035,0.005
0.026857,-0.16051,0.0019708,0,0.05,0.035,0.005
0.042212,-0.1585,-0.023988,0,0.055,0.035,0.005
0.05727,-0.15053,-0.048637,0,0.06,0.035,0.005
0.07096,-0.13683,-0.070109,0,0.065,0.035,0.005
0.082091,-0.11802,-0.086425,0,0.07,0.035,0.005
0.089432,-0.09519,-0.095605,0,0.075,0.035,0.005
0.091899,-0.069998,-0.09588,0,0.08,0.035,0.005
0.08867,-0.044702,-0.086011,0,0.085,0.035,0.005
0.078152,-0.022391,-0.065688,0,0.09,0.035,0.005
0.058428,-0.0072741,-0.036031,0,0.095,0.035,0.005
0.046096,0,0,0,0.1,0.035,0.005
-0.010675,-0.0082863,0.047726,0,0.005,0.04,0.005
0.0025899,0,0,0,0,0.04,0.005
-0.031405,-0.024875,0.084247,0,0.01,0.04,0.005
-0.041785,-0.048824,0.10787,0,0.015,0.04,0.005
-0.044772,-0.075583,0.11869,0,0.02,0.04,0.005
-0.042514,-0.10211,0.11788,0,0.025,0.04,0.005
-0.035792,-0.12637,0.10717,0,0.03,0.04,0.005
-0.025314,-0.14687,0.088462,0,0.035,0.04,0.005
-0.011776,-0.1626,0.06366,0,0.04,0.04,0.005
0.0041657,-0.17291,0.034612,0,0.045,0.04,0.005
0.021817,-0.17735,0.0031243,0,0.05,0.04,0.005
0.040372,-0.17566,-0.028966,0,0.055,0.04,0.005
0.058854,-0.16771,-0.059692,0,0.06,0.04,0.005
0.076083,-0.1536,-0.086879,0,0.065,0.04,0.005
0.090675,-0.13374,-0.10813,0,0.07,0.04,0.005
0.1011,-0.10907,-0.12088,0,0.075,0.04,0.005
0.10589,-0.081181,-0.12268,0,0.08,0.04,0.005
0.10381,-0.052494,-0.11154,0,0.085,0.04,0.005
0.092642,-0.026623,-0.086476,0,0.09,0.04,0.005
0.069817,-0.0087638,-0.048254,0,0.095,0.04,0.005
0.055266,0,0,0,0.1,0.04,0.005
-0.03399,-0.0096234,0.061089,0,0.005,0.045,0.005
-0.01891,0,0,0,0,0.045,0.005
-0.057105,-0.028508,0.1064,0,0.01,0.045,0.005
-0.067708,-0.055265,0.13459,0,0.015,0.045,0.005
-0.069514,-0.084523,0.14651,0,0.02,0.045,0.005
-0.065274,-0.1129,0.14422,0,0.025,0.045,0.005
-0.05604,-0.13835,0.13023,0,0.03,0.045,0.005
-0.042679,-0.15954,0.10704,0,0.035,0.045,0.005
-0.025962,-0.17569,0.077013,0,0.04,0.045,0.005
-0.0065533,-0.18633,0.042251,0,0.045,0.045,0.005
0.014885,-0.19118,0.004722,0,0.05,0.045,0.005
0.037577,-0.18999,-0.033624,0,0.055,0.045,0.005
0.060539,-0.18255,-0.070686,0,0.06,0.045,0.005
0.082507,-0.16873,-0.10406,0,0.065,0.045,0.005
0.10189,-0.14866,-0.13096,0,0.07,0.045,0.005
0.11682,-0.12293,-0.14819,0,0.075,0.045,0.005
0.12534,-0.092915,-0.15241,0,0.08,0.045,0.005
0.12564,-0.06106,-0.14057,0,0.085,0.045,0.005
0.11457,-0.03148,-0.11066,0,0.09,0.045,0.005
0.088657,-0.010551,-0.062749,0,0.095,0.045,0.005
0.071675,0,0,0,0.1,0.045,0.005
-0.067249,-0.011191,0.076369,0,0.005,0.05,0.005
-0.05026,0,0,0,0,0.05,0.005
-0.092558,-0.032525,0.13123,0,0.01,0.05,0.005
-0.10259,-0.061958,0.16384,0,0.015,0.05,0.005
-0.10213,-0.093164,0.17622,0,0.02,0.05,0.005
-0.094783,-0.1225,0.17169,0,0.025,0.05,0.005
-0.081974,-0.14806,0.15379,0,0.03,0.05,0.005
-0.064763,-0.16886,0.12577,0,0.035,0.05,0.005
-0.043985,-0.1845,0.090433,0,0.04,0.05,0.005
-0.020268,-0.19486,0.050095,0,0.045,0.05,0.005
0.0058171,-0.19987,0.0067779,0,0.05,0.05,0.005
0.033594,-0.19936,-0.037593,0,0.055,0.05,0.005
0.062144,-0.19303,-0.080934,0,0.06,0.05,0.005
0.090182,-0.18049,-0.12075,0,0.065,0.05,0.005
0.11595,-0.16142,-0.15393,0,0.07,0.05,0.005
0.13719,-0.13589,-0.17664,0,0.075,0.05,0.005
0.15136,-0.1048,-0.18449,0,0.08,0.05,0.005
0.15583,-0.070365,-0.17298,0,0.085,0.05,0.005
0.14614,-0.037094,-0.13851,0,0.09,0.05,0.005
0.11737,-0.012744,-0.079872,0,0.095,0.05,0.005
0.097754,0,0,0,0.1,0.05,0.005
-0.113,-0.013127,0.093804,0,0.005,0.055,0.005
-0.094033,0,0,0,0,0.055,0.005
-0.14005,-0.037092,0.15876,0,0.01,0.055,0.005
-0.14815,-0.068873,0.19517,0,0.015,0.055,0.005
-0.14375,-0.10106,0.2069,0,0.02,0.055,0.005
-0.13168,-0.1299,0.19907,0,0.025,0.055,0.005
-0.11388,-0.15392,0.17654,0,0.03,0.055,0.005
-0.091642,-0.17273,0.14344,0,0.035,0.055,0.005
-0.065827,-0.18653,0.10298,0,0.04,0.055,0.005
-0.036952,-0.19566,0.057595,0,0.045,0.055,0.005
-0.0054035,-0.20039,0.0092102,0,0.05,0.055,0.005
0.028354,-0.2007,-0.040457,0,0.055,0.055,0.005
0.063587,-0.1962,-0.08954,0,0.06,0.055,0.005
0.099104,-0.1862,-0.13565,0,0.065,0.055,0.005
0.13307,-0.16982,-0.17554,0,0.07,0.055,0.005
0.16286,-0.1464,-0.2048,0,0.075,0.055,0.005
0.18527,-0.116,-0.21783,0,0.08,0.055,0.005
0.19656,-0.080177,-0.20829,0,0.085,0.055,0.005
0.19036,-0.043581,-0.17016,0,0.09,0.055,0.005
0.15945,-0.015494,-0.10005,0,0.095,0.055,0.005
0.1371,0,0,0,0.1,0.055,0.005
-0.1749,-0.015674,0.11375,0,0.005,0.06,0.005
-0.15401,0,0,0,0,0.06,0.005
-0.20261,-0.042453,0.18888,0,0.01,0.06,0.005
-0.20639,-0.075881,0.22772,0,0.015,0.06,0.005
-0.19538,-0.1074,0.23704,0,0.02,0.06,0.005
-0.17623,-0.13351,0.22446,0,0.025,0.06,0.005
-0.15155,-0.15359,0.19654,0,0.03,0.06,0.005
-0.12285,-0.16819,0.15831,0,0.035,0.06,0.005
-0.090936,-0.17831,0.1133,0,0.04,0.06,0.005
-0.056096,-0.18494,0.063924,0,0.045,0.06,0.005
-0.018387,-0.18874,0.011797,0,0.05,0.06,0.005
0.022096,-0.1899,-0.041784,0,0.055,0.06,0.005
0.06498,-0.188,-0.095412,0,0.06,0.06,0.005
0.10936,-0.18206,-0.14709,0,0.065,0.06,0.005
0.1535,-0.1706,-0.19368,0,0.07,0.06,0.005
0.19456,-0.15196,-0.23043,0,0.075,0.06,0.005
0.22863,-0.12495,-0.25055,0,0.08,0.06,0.005
0.25062,-0.089915,-0.24539,0,0.085,0.06,0.005
0.25139,-0.051015,-0.20551,0,0.09,0.06,0.005
0.22005,-0.019026,-0.12378,0,0.095,0.06,0.005
0.19521,0,0,0,0.1,0.06,0.005
-0.25853,-0.019238,0.13672,0,0.005,0.065,0.005
-0.2363,0,0,0,0,0.065,0.005
-0.28433,-0.048907,0.22126,0,0.01,0.065,0.005
-0.2795,-0.082549,0.25995,0,0.015,0.065,0.005
-0.25765,-0.11068,0.26423,0,0.02,0.065,0.005
-0.228,-0.13073,0.2451,0,0.025,0.065,0.005
-0.19393,-0.14358,0.2111,0,0.03,0.065,0.005
-0.15706,-0.1511,0.16805,0,0.035,0.065,0.005
-0.11796,-0.15528,0.11964,0,0.04,0.065,0.005
-0.076486,-0.15782,0.06797,0,0.045,0.065,0.005
-0.032164,-0.15982,0.014142,0,0.05,0.065,0.005
0.015491,-0.16173,-0.041191,0,0.055,0.065,0.005
0.066703,-0.16317,-0.097335,0,0.06,0.065,0.005
0.12113,-0.16295,-0.15299,0,0.065,0.065,0.005
0.17745,-0.15901,-0.20556,0,0.07,0.065,0.005
0.23292,-0.14864,-0.25034,0,0.075,0.065,0.005
0.28311,-0.129,-0.2796,0,0.08,0.065,0.005
0.32143,-0.09834,-0.28215,0,0.085,0.065,0.005
0.33498,-0.059331,-0.24392,0,0.09,0.065,0.005
0.30707,-0.023675,-0.1516,0,0.095,0.065,0.005
0.28081,0,0,0,0.1,0.065,0.005
-0.37306,-0.024425,0.16342,0,0.005,0.07,0.005
-0.35164,0,0,0,0,0.07,0.005
-0.39079,-0.056612,0.25498,0,0.01,0.07,0.005
-0.36956,-0.087589,0.28916,0,0.015,0.07,0.005
-0.33022,-0.10789,0.28474,0,0.02,0.07,0.005
-0.28525,-0.11719,0.25713,0,0.025,0.07,0.005
-0.23864,-0.11863,0.21673,0,0.03,0.07,0.005
-0.19173,-0.11573,0.16987,0,0.035,0.07,0.005
-0.14449,-0.11152,0.11993,0,0.04,0.07,0.005
-0.096042,-0.10831,0.068416,0,0.045,0.07,0.005
-0.045092,-0.10757,0.015688,0,0.05,0.07,0.005
0.0096751,-0.10996,-0.038421,0,0.055,0.07,0.005
0.069365,-0.11527,-0.094127,0,0.06,0.07,0.005
0.13456,-0.12227,-0.15113,0,0.065,0.07,0.005
0.20484,-0.12859,-0.20784,0,0.07,0.07,0.005
0.27813,-0.13059,-0.26024,0,0.075,0.07,0.005
0.35007,-0.12358,-0.30039,0,0.08,0.07,0.005
0.41282,-0.10289,-0.31479,0,0.085,0.07,0.005
0.44897,-0.067989,-0.28368,0,0.09,0.07,0.005
0.43296,-0.02985,-0.18399,0,0.095,0.07,0.005
0.40862,0,0,0,0.1,0.07,0.005
-0.53406,-0.031835,0.1946,0,0.005,0.075,0.005
-0.51992,0,0,0,0,0.075,0.005
-0.52936,-0.064776,0.28772,0,0.01,0.075,0.005
-0.47775,-0.087447,0.31058,0,0.015,0.075,0.005
-0.41084,-0.09304,0.29312,0,0.02,0.075,0.005
-0.34419,-0.085443,0.25552,0,0.025,0.075,0.005
-0.28144,-0.070824,0.20943,0,0.03,0.075,0.005
-0.22282,-0.054314,0.16081,0,0.035,0.075,0.005
-0.16701,-0.039667,0.11216,0,0.04,0.075,0.005
-0.11187,-0.029432,0.063998,0,0.045,0.075,0.005
-0.054998,-0.025183,0.01581,0,0.05,0.075,0.005
0.0060497,-0.027692,-0.033443,0,0.055,0.075,0.005
0.07355,-0.036962,-0.084929,0,0.06,0.075,0.005
0.14942,-0.052063,-0.13951,0,0.065,0.075,0.005
0.23479,-0.070786,-0.19702,0,0.07,0.075,0.005
0.32921,-0.089163,-0.25501,0,0.075,0.075,0.005
0.42966,-0.10102,-0.30656,0,0.08,0.075,0.005
0.52828,-0.098284,-0.33712,0,0.085,0.075,0.005
0.60348,-0.074981,-0.32104,0,0.09,0.075,0.005
0.61756,-0.037665,-0.221,0,0.095,0.075,0.005
0.6039,0,0,0,0.1,0.075,0.005
-0.76792,-0.040884,0.23057,0,0.005,0.08,0.005
-0.77822,0,0,0,0,0.08,0.005
-0.70892,-0.069164,0.314,0,0.01,0.08,0.005
-0.60314,-0.073068,0.31599,0,0.015,0.08,0.005
-0.49444,-0.054209,0.28164,0,0.02,0.08,0.005
-0.39848,-0.023012,0.23446,0,0.025,0.08,0.005
-0.31624,0.011459,0.18537,0,0.03,0.08,0.005
-0.24509,0.043308,0.13861,0,0.035,0.08,0.005
-0.1813,0.06896,0.09504,0,0.04,0.08,0.005
-0.12083,0.086327,0.053973,0,0.045,0.08,0.005
-0.059743,0.094212,0.014023,0,0.05,0.08,0.005
0.0057295,0.09195,-0.026533,0,0.055,0.08,0.005
0.079283,0.079293,-0.069597,0,0.06,0.08,0.005
0.16457,0.056543,-0.11706,0,0.065,0.08,0.005
0.26503,0.025008,-0.17037,0,0.07,0.08,0.005
0.38327,-0.012148,-0.2294,0,0.075,0.08,0.005
0.51981,-0.048637,-0.29001,0,0.08,0.08,0.005
0.66954,-0.073779,-0.33937,0,0.085,0.08,0.005
0.81029,-0.074269,-0.34843,0,0.09,0.08,0.005
0.89199,-0.04547,-0.26156,0,0.095,0.08,0.005
0.90995,0,0,0,0.1,0.08,0.005
-1.1244,-0.045429,0.26861,0,0.005,0.085,0.005
-1.2062,0,0,0,0,0.085,0.005
-0.93684,-0.055472,0.32135,0,0.01,0.085,0.005
-0.73789,-0.023202,0.29185,0,0.015,0.085,0.005
-0.57025,0.031116,0.24067,0,0.02,0.085,0.005
-0.43797,0.090057,0.18873,0,0.025,0.085,0.005
-0.33478,0.14431,0.14255,0,0.03,0.085,0.005
-0.2525,0.18945,0.10307,0,0.035,0.085,0.005
-0.18329,0.22358,0.069079,0,0.04,0.085,0.005
-0.12043,0.24601,0.038791,0,0.045,0.085,0.005
-0.058239,0.25646,0.010301,0,0.05,0.085,0.005
0.0084691,0.25464,-0.01834,0,0.055,0.085,0.005
0.084843,0.24011,-0.049232,0,0.06,0.085,0.005
0.1765,0.21232,-0.084751,0,0.065,0.085,0.005
0.28996,0.17098,-0.12754,0,0.07,0.085,0.005
0.43272,0.11696,-0.17997,0,0.075,0.085,0.005
0.61203,0.054016,-0.24225,0,0.08,0.085,0.005
0.83099,-0.0081988,-0.30765,0,0.085,0.085,0.005
1.0798,-0.049898,-0.35113,0,0.09,0.085,0.005
1.3116,-0.045274,-0.3003,0,0.095,0.085,0.005
1.4138,0,0,0,0.1,0.085,0.005
-1.7133,-0.015656,0.28794,0,0.005,0.09,0.005
-2.008,0,0,0,0,0.09,0.005
-1.2005,0.019016,0.28555,0,0.01,0.09,0.005
-0.84182,0.10803,0.22377,0,0.015,0.09,0.005
-0.60385,0.20174,0.16594,0,0.02,0.09,0.005
-0.43817,0.28233,0.12033,0,0.025,0.09,0.005
-0.32105,0.34711,0.085701,0,0.03,0.09,0.005
-0.23537,0.39655,0.059344,0,0.035,0.09,0.005
-0.1678,0.43185,0.038573,0,0.04,0.09,0.005
-0.10877,0.45426,0.021205,0,0.045,0.09,0.005
-0.05116,0.46463,0.0054938,0,0.05,0.09,0.005
0.011104,0.46319,-0.0101,0,0.055,0.09,0.005
0.084103,0.44945,-0.027187,0,0.06,0.09,0.005
0.17501,0.42214,-0.047755,0,0.065,0.09,0.005
0.29345,0.37928,-0.074522,0,0.07,0.09,0.005
0.45315,0.31852,-0.11119,0,0.075,0.09,0.005
0.67209,0.23795,-0.16206,0,0.08,0.09,0.005
0.9734,0.13883,-0.22967,0,0.085,0.09,0.005
1.4027,0.039183,-0.30395,0,0.09,0.09,0.005
1.9923,-0.0058816,-0.31197,0,0.095,0.09,0.005
2.3272,0,0,0,0.1,0.09,0.005
-2.6454,0.18094,0.21261,0,0.005,0.095,0.005
-3.4532,0,0,0,0,0.095,0.005
-1.4233,0.27814,0.17738,0,0.01,0.095,0.005
-0.82302,0.40886,0.11857,0,0.015,0.095,0.005
-0.53193,0.5118,0.07749,0,0.02,0.095,0.005
-0.36145,0.58394,0.050945,0,0.025,0.095,0.005
-0.25422,0.63494,0.033617,0,0.03,0.095,0.005
-0.183,0.67077,0.021961,0,0.035,0.095,0.005
-0.13025,0.69492,0.013655,0,0.04,0.095,0.005
-0.085185,0.70963,0.0072151,0,0.045,0.095,0.005
-0.040753,0.71618,0.0016601,0,0.05,0.095,0.005
0.0086356,0.71503,-0.0037635,0,0.055,0.095,0.005
0.068572,0.70585,-0.0098116,0,0.06,0.095,0.005
0.14609,0.6874,-0.017486,0,0.065,0.095,0.005
0.25194,0.65728,-0.028388,0,0.07,0.095,0.005
0.40433,0.6115,-0.045237,0,0.075,0.095,0.005
0.63368,0.54311,-0.072545,0,0.08,0.095,0.005
1.0017,0.44041,-0.11702,0,0.085,0.095,0.005
1.6963,0.30359,-0.18214,0,0.09,0.095,0.005
3.0239,0.19606,-0.22225,0,0.095,0.095,0.005
3.8864,0,0,0,0.1,0.095,0.005
-3.2056,1,0,0,0.005,0.1,0.005
-4.3667,0.5,0,0,0,0.1,0.005
-1.5091,1,0,0,0.01,0.1,0.005
-0.76836,1,0,0,0.015,0.1,0.005
-0.46051,1,0,0,0.02,0.1,0.005
-0.29899,1,0,0,0.025,0.1,0.005
-0.20513,1,0,0,0.03,0.1,0.005
-0.14695,1,0,0,0.035,0.1,0.005
-0.10563,1,0,0,0.04,0.1,0.005
-0.070491,1,0,0,0.045,0.1,0.005
-0.035078,1,0,0,0.05,0.1,0.005
0.0055077,1,0,0,0.055,0.1,0.005
0.056139,1,0,0,0.06,0.1,0.005
0.12317,1,0,0,0.065,0.1,0.005
0.21708,1,0,0,0.07,0.1,0.005
0.35726,1,0,0,0.075,0.1,0.005
0.58016,1,0,0,0.08,0.1,0.005
0.97197,1,0,0,0.085,0.1,0.005
1.8184,1,0,0,0.09,0.1,0.005
3.6298,1,0,0,0.095,0.1,0.005
4.8485,0.5,0,0,0.1,0.1,0.005
